"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Eif5a",0.00102204964879847,0.106344052008613,0.98,0.977,1,"EPO_responsive","Eif5a"
"Usp1",0.00102591656029366,0.199331263389819,0.613,0.55,1,"EPO_responsive","Usp1"
"Mlf1",0.0010350564328923,0.110791699537242,0.131,0.077,1,"EPO_responsive","Mlf1"
"Ezh2",0.00104428966638363,0.186241347987417,0.557,0.494,1,"EPO_responsive","Ezh2"
"Ppm1g",0.0011021529761692,0.200053312582597,0.636,0.581,1,"EPO_responsive","Ppm1g"
"Hnrnpl",0.00113200094292214,0.19570110584587,0.646,0.611,1,"EPO_responsive","Hnrnpl"
"Mzt1",0.00118610781302009,0.172658767553385,0.489,0.424,1,"EPO_responsive","Mzt1"
"Hmgn1",0.00120582841551254,0.161543416361606,0.879,0.84,1,"EPO_responsive","Hmgn1"
"Ppia",0.00125072515447315,0.0686866314404355,1,1,1,"EPO_responsive","Ppia"
"Aunip",0.00126024180929729,0.164610083363424,0.226,0.173,1,"EPO_responsive","Aunip"
"Magoh",0.00126811273106797,0.172254261365478,0.685,0.628,1,"EPO_responsive","Magoh"
"Pcna",0.00127998835259815,0.170922254468179,0.649,0.58,1,"EPO_responsive","Pcna"
"Higd1a",0.00136492482122537,0.137395635197986,0.767,0.713,1,"EPO_responsive","Higd1a"
"Shfm1",0.00136840586377585,0.0955584369993794,0.984,0.97,1,"EPO_responsive","Shfm1"
"Hnrnpul1",0.00137002971500368,0.178166564666996,0.643,0.583,1,"EPO_responsive","Hnrnpul1"
"H3f3a",0.00144963280759237,0.0807344610970384,1,0.996,1,"EPO_responsive","H3f3a"
"Gemin6",0.00151515738796635,0.172510744432848,0.256,0.201,1,"EPO_responsive","Gemin6"
"Fxn",0.00159301130583768,0.177700980364189,0.357,0.298,1,"EPO_responsive","Fxn"
"Atp5o",0.00160513362481551,0.151589262530805,0.787,0.739,1,"EPO_responsive","Atp5o"
"Gins2",0.00165234074372692,0.173357468321618,0.354,0.291,1,"EPO_responsive","Gins2"
"Rmi2",0.00166169704848126,0.15153442773874,0.298,0.218,1,"EPO_responsive","Rmi2"
"Rbm3",0.00175818786223653,0.122561465530751,0.957,0.945,1,"EPO_responsive","Rbm3"
"Ly6e",0.00203024982208496,0.0951951425239796,0.977,0.953,1,"EPO_responsive","Ly6e"
"Rnmtl1",0.00211643231091705,0.131193014795034,0.167,0.112,1,"EPO_responsive","Rnmtl1"
"Prdx1",0.00212156231472716,0.123835888361924,0.944,0.933,1,"EPO_responsive","Prdx1"
"Yes1",0.00212282085063824,0.112572712987867,0.105,0.05,1,"EPO_responsive","Yes1"
"Nuf2",0.00213603646716601,0.125074274791972,0.19,0.136,1,"EPO_responsive","Nuf2"
"Atp5k",0.00213796944892945,0.146796298353107,0.895,0.877,1,"EPO_responsive","Atp5k"
"Sgf29",0.00223430804655243,0.170441681914629,0.344,0.283,1,"EPO_responsive","Sgf29"
"Rheb",0.00232083287296627,0.144363256031054,0.721,0.667,1,"EPO_responsive","Rheb"
"Vti1a",0.00237223223873039,0.11024111261424,0.115,0.069,1,"EPO_responsive","Vti1a"
"Tmco1",0.00258040454483451,0.144734578012933,0.79,0.752,1,"EPO_responsive","Tmco1"
"Pdap1",0.00262124338183921,0.171882594664983,0.731,0.693,1,"EPO_responsive","Pdap1"
"Cenpk",0.00263718145074171,0.15406311979917,0.289,0.23,1,"EPO_responsive","Cenpk"
"Nhp2",0.00269985956939311,0.150841574386128,0.807,0.762,1,"EPO_responsive","Nhp2"
"Rad1",0.00285015710798537,0.164059401351493,0.239,0.192,1,"EPO_responsive","Rad1"
"Rfc3",0.00289555430731746,0.152151110695595,0.407,0.337,1,"EPO_responsive","Rfc3"
"Peg12",0.00293775401771847,0.114600716146105,0.138,0.083,1,"EPO_responsive","Peg12"
"Cfl1",0.00301428240040639,0.076721852301374,0.99,0.984,1,"EPO_responsive","Cfl1"
"Cisd1",0.00304937616556468,0.173637762371562,0.603,0.531,1,"EPO_responsive","Cisd1"
"Ptp4a1",0.00307387109049501,0.133687453966943,0.538,0.457,1,"EPO_responsive","Ptp4a1"
"Rbm8a",0.00313129728483983,0.168306470655804,0.734,0.703,1,"EPO_responsive","Rbm8a"
"Zfp330",0.00318020971198661,0.168891883603743,0.374,0.325,1,"EPO_responsive","Zfp330"
"Nusap1",0.00328021691657741,0.189593133418762,0.298,0.228,1,"EPO_responsive","Nusap1"
"Nudc",0.00329654655211416,0.137274943157135,0.797,0.748,1,"EPO_responsive","Nudc"
"Serf1",0.00330186837472683,0.144372652562693,0.613,0.545,1,"EPO_responsive","Serf1"
"Ndufa2",0.0033495486377101,0.127340410267851,0.941,0.926,1,"EPO_responsive","Ndufa2"
"Plk4",0.00343596741810544,0.155916888309087,0.252,0.213,1,"EPO_responsive","Plk4"
"Ap4m1",0.00346548472066294,0.158158239013925,0.298,0.231,1,"EPO_responsive","Ap4m1"
"Pradc1",0.00346817070740629,0.144285311312812,0.308,0.247,1,"EPO_responsive","Pradc1"
